CourseID,CourseTitle,CourseProvider
C220,Customer Service Skills,Skillshare
C221,Handling Difficult Conversations,Skillshare
C222,GDPR Basics,FutureLearn
C223,Fire Safety,MasterClass
C224,Financial Regulations,Coursera
C225,Cleaning Protocols,Codecademy
C226,Data Protection,edX
C227,Conflict Resolution,ihasco
C228,Electrical Safety,MasterClass
C229,Safeguarding Adults,Udemy
C230,System Troubleshooting,Pluralsight
C231,Manual Handling,ihasco
C232,Cybersecurity Essentials,Cornerstone
C233,Building Maintenance,Pluralsight
C234,Tenant Rights & Responsibilities,Pluralsight
C235,Payroll Compliance,Coursera
C236,Health & Safety Basics,MasterClass
C237,Effective Communication,Skillshare
